Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,character.id,Tabard,Shirt
Wing Commander's Helmet,Noble's Birthstone Pendant,Prankster's Pauldrons,Abdominal Securing Chestguard,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Stoneguard Attendant's Boots,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Ritual Commander's Ring,Shadowghast Ring,Splintered Heart of Al'ar,Anima Field Emitter,Cloak of Enveloping Manifestations,Sinsmasher,Encrusted Canopic Lid,194457552,,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Dynamo Doomstompers,Thunderous Echo Vambraces,Fogweaver Gauntlets,Signet of the False Accuser,Ritual Bone Band,Blood-Spattered Scale,Anima Field Emitter,Blighted Margrave's Cloak,Engorged Worm Smasher,Acidslough Bulwark,124079940,Renowned Guild Tabard,Artisan Officer's Shirt
Wrathbark Greathelm,Charm of Eternal Winter,Prankster's Pauldrons,Rampaging Giant's Chestplate,Fused Bone Greatbelt,Ceremonial Parade Legguards,Sabatons of the Rushing Juggernaut,Shadowghast Armguards,Fleshfused Crushers,Ardent Sunstar Signet,Ritual Bone Band,Blood-Spattered Scale,Inscrutable Quantum Device,Blighted Margrave's Cloak,Gorestained Cleaver,Acidslough Bulwark,194666788,,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Sinful Aspirant's Plate Chestplate,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Shoulderblade Vambraces,Guilewind Stone Talons,Band of the Risen Bonelord,Stitchflesh's Misplaced Signet,Macabre Sheet Music,Inscrutable Quantum Device,Drape of Twisted Loyalties,Sophisticated Bonecracker,Sylvan Whiteshield,113068400,,
Shadowghast Helm,Trailspinner Pendant,Selfless Collector's Spaulders,Selfless Collector's Chestplate,Waistguard of Expurged Anguish,Ceremonial Parade Legguards,Selfless Collector's Warboots,Thunderous Echo Vambraces,Fleshfused Crushers,Hyperlight Band,Fleshfused Circle,Viscera of Coalesced Hatred,Gluttonous Spike,Cowled Batwing Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,132026547,,
Wing Commander's Helmet,Azure-Venom Choker,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Muckwallow Stompers,Reality-Shatter Vambraces,Distorted Construct's Gauntlets,Arachnid Cipher Ring,Shadowghast Ring,Darkmoon Deck: Voracity,Blood-Spattered Scale,Shroud of the Penitent,Gorestained Cleaver,Acidslough Bulwark,112264168,,
Shadowghast Helm,Noble's Birthstone Pendant,Prankster's Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Shoulderblade Vambraces,Distorted Construct's Gauntlets,Signet of the False Accuser,Ardent Sunstar Signet,Darkmoon Deck: Indomitable,Pulsating Stoneheart,Decadent Nathrian Shawl,Gorestained Cleaver,Barricade of the Endless Empire,151301209,Guild Tabard,Croc-Tooth Harness
Wing Commander's Helmet,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Cautious Calculation,Waistguard of Expurged Anguish,Ceremonial Parade Legguards,Errant Crusader's Greaves,Pit Fighter's Wristguards,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Shadowghast Ring,Gluttonous Spike,Sanguine Vintage,Blighted Margrave's Cloak,Supercollider,Elysian Sentinel's Aegis,160475241,,
Darkfrost Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Chestplate of the March Warden,Waistguard of Expurged Anguish,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Shoulderblade Vambraces,Fogweaver Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Sinful Aspirant's Badge of Ferocity,Blighted Margrave's Cloak,Axe of the Deadgrove,Acidslough Bulwark,193978870,,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Reality-Shatter Vambraces,Guilewind Stone Talons,Ritual Bone Band,Fleshfused Circle,Sinful Gladiator's Badge of Ferocity,Sinful Aspirant's Insignia of Alacrity,Drape of Twisted Loyalties,Sinful Gladiator's Xiphos,Sinful Gladiator's Guard,225573574,Tabard of the Ascended,Black Swashbuckler's Shirt
Sinful Aspirant's Plate Helm,Trailspinner Pendant,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Galvanized Oxxein Legguards,Sinful Aspirant's Plate Warboots,Sinful Aspirant's Plate Cuffs,Fogweaver Gauntlets,Death God's Signet,Signet of the False Accuser,Sinful Aspirant's Sigil of Adaptation,Sinful Aspirant's Badge of Ferocity,Dealer Xy'exa's Cape,Sinful Gladiator's Swordbreaker,Sinful Gladiator's Redoubt,224336877,Tabard of Summer Skies,Stylish Black Shirt
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Ceremonial Parade Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Sinful Gladiator's Plate Handguards,Most Regal Signet of Sire Denathrius,Arachnid Cipher Ring,Gluttonous Spike,Anima Field Emitter,Blighted Margrave's Cloak,Supercollider,Barricade of the Endless Empire,148589653,,
Plague Handler's Greathelm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Abdominal Securing Chestguard,Shadowghast Waistguard,Legplates of Unholy Frenzy,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Fleshfused Circle,Signet of the False Accuser,Instructor's Divine Bell,Splintered Heart of Al'ar,Cowled Batwing Cloak,Engorged Worm Smasher,Elysian Sentinel's Aegis,162771315,,
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Abdominal Securing Chestguard,Fused Bone Greatbelt,Legplates of Unholy Frenzy,Sabatons of the Rushing Juggernaut,Shoulderblade Vambraces,Fogweaver Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Splintered Heart of Al'ar,Spare Meat Hook,Cloak of Enveloping Manifestations,Axe of the Deadgrove,Acidslough Bulwark,90960630,,
Wrathbark Greathelm,Noble's Birthstone Pendant,Unyielding Combatant's Pauldrons,Selfless Collector's Chestplate,Scarred Bloodbound Girdle,Gormshell Greaves,Warboots of Ruthless Conviction,Reality-Shatter Vambraces,Fogweaver Gauntlets,Shadowghast Ring,Signet of the False Accuser,Viscera of Coalesced Hatred,Slimy Consumptive Organ,Cowled Batwing Cloak,Axe of the Deadgrove,Acidslough Bulwark,152464945,,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Waistguard of Expurged Anguish,Legplates of Unholy Frenzy,Dynamo Doomstompers,Selfless Collector's Wristguards,Fleshfused Crushers,Ritualist's Treasured Ring,Fleshfused Circle,Anima Field Emitter,Bladedancer's Armor Kit,Drape of Twisted Loyalties,Supercollider,Barricade of the Endless Empire,132267779,Tabard of the Argent Crusade,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Blood-Spattered Scale,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Axe of the Deadgrove,Acidslough Bulwark,145749716,,
Dread Sentinel's Ebony Headgear,Muckformed Chain Choker,Shadowghast Pauldrons,Dread Sentinel's Ebony Chestplate,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Stoneguard Attendant's Boots,Hellhound Cuffs,Fogweaver Gauntlets,Most Regal Signet of Sire Denathrius,Death God's Signet,Stone Legion Heraldry,Blood-Spattered Scale,Decadent Nathrian Shawl,Gorestained Cleaver,Barricade of the Endless Empire,106684437,Tabard of the Lightbringer,Lucky Shirt
Diadem of Imperious Desire,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Binding of Warped Desires,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Pit Fighter's Wristguards,Fogweaver Gauntlets,Signet of the False Accuser,Ritual Bone Band,Inscrutable Quantum Device,Heart of Iron,Cowled Batwing Cloak,Axe of the Deadgrove,Elysian Sentinel's Aegis,79215146,Private's Tabard,Undisputed Champion's Shirt
Selfless Collector's GreatHelm,Sin Stained Pendant,Selfless Collector's Spaulders,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Selfless Collector's Legguards,Errant Crusader's Greaves,Thunderous Echo Vambraces,Desm's Fistos,Hyperlight Band,Ritual Commander's Ring,Darkmoon Deck: Indomitable,Blood-Spattered Scale,Drape of Twisted Loyalties,Supercollider,Elysian Sentinel's Aegis,150496411,,
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Fused Bone Greatbelt,Gormshell Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Colossal Plate Gauntlets,Signet of the False Accuser,Ritualist's Treasured Ring,Slimy Consumptive Organ,Inscrutable Quantum Device,Cowled Batwing Cloak,Ascended Gladius of Glory,Sylvan Whiteshield,72094676,Army of the Light Tabard,Undisputed Champion's Shirt
Wrathbark Greathelm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Signet of the False Accuser,Fleshfused Circle,Anima Field Emitter,Decanter of Anima-Charged Winds,Dealer Xy'exa's Cape,Gorestained Cleaver,Encrusted Canopic Lid,226094454,,
Darkfrost Helmet,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Shadowghast Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Distorted Construct's Gauntlets,Death God's Signet,Band of the Risen Bonelord,Splintered Heart of Al'ar,Stone Legion Heraldry,Dealer Xy'exa's Cape,Gorestained Cleaver,Elysian Sentinel's Aegis,22178629,Tabard of the Lightbringer,Wraps of the Blood-Soaked Brawler
Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Gormshell Greaves,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Fleshfused Crushers,Arachnid Cipher Ring,Ring of Perpetual Conflict,Pulsating Stoneheart,Overwhelming Power Crystal,Cloak of Enveloping Manifestations,Supercollider,Acidslough Bulwark,156708165,Argent Crusader's Tabard,Artisan Officer's Shirt
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Selfless Collector's Chestplate,Fused Bone Greatbelt,Halkias's Towering Pillars,Dynamo Doomstompers,Thunderous Echo Vambraces,Fleshfused Crushers,Death God's Signet,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Gluttonous Spike,Blighted Margrave's Cloak,Axe of the Deadgrove,Acidslough Bulwark,167470676,,
Wrathbark Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Sinful Gladiator's Plate Legguards,Errant Crusader's Greaves,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Bloodoath Signet,Twisted Witherroot Band,Viscera of Coalesced Hatred,Anima Field Emitter,Decadent Nathrian Shawl,Sinsmasher,Sinful Gladiator's Bulwark,164547258,Tabard of the Lightbringer,Gray Woolen Shirt
Diadem of Imperious Desire,Noble's Birthstone Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Bloodoath Signet,Ritualist's Treasured Ring,Inscrutable Quantum Device,Slimy Consumptive Organ,Shroud of the Penitent,Engorged Worm Smasher,Encrusted Canopic Lid,113990603,Renowned Guild Tabard,Sleeveless T-Shirt
Wrathbark Greathelm,Muckformed Chain Choker,Prankster's Pauldrons,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Reality-Shatter Vambraces,Fogweaver Gauntlets,Shadowghast Ring,Stitchflesh's Misplaced Signet,Macabre Sheet Music,Decanter of Anima-Charged Winds,Selfless Collector's Greatcloak,Axe of the Deadgrove,Acidslough Bulwark,147943017,Knight's Colors,Ooze-Soaked Shirt
Wrathbark Greathelm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Selfless Collector's Chestplate,Shadowghast Waistguard,Gormshell Greaves,Selfless Collector's Warboots,Reality-Shatter Vambraces,Selfless Collector's Gauntlets,Arachnid Cipher Ring,Death God's Signet,Overwhelming Power Crystal,Darkmoon Deck: Indomitable,Blighted Margrave's Cloak,Engorged Worm Smasher,Barricade of the Endless Empire,88245594,Guild Tabard,
Darkfrost Helmet,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Abdominal Securing Chestguard,Shadowghast Waistguard,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Sinful Gladiator's Ring,Most Regal Signet of Sire Denathrius,Anima Field Emitter,Slimy Consumptive Organ,Drape of Twisted Loyalties,Sophisticated Bonecracker,Chyrus's Crest of Hope,148814723,,
Plague Handler's Greathelm,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Bloodoath Signet,Shadowghast Ring,Gluttonous Spike,Blood-Spattered Scale,Cowled Batwing Cloak,Axe of the Deadgrove,Acidslough Bulwark,118742265,,
Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Legplates of Unholy Frenzy,Dynamo Doomstompers,Reality-Shatter Vambraces,Fogweaver Gauntlets,Ritualist's Treasured Ring,Stitchflesh's Misplaced Signet,Slimy Consumptive Organ,Darkmoon Deck: Voracity,Cowled Batwing Cloak,Supercollider,Acidslough Bulwark,195031258,,
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Binding of Warped Desires,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Decanter of Anima-Charged Winds,Slimy Consumptive Organ,Decadent Nathrian Shawl,Axe of the Deadgrove,Acidslough Bulwark,162182888,Renowned Guild Tabard,Artisan Officer's Shirt
Wing Commander's Helmet,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Shadowghast Sabatons,Reality-Shatter Vambraces,Colossal Plate Gauntlets,Death God's Signet,Entwined Gorger Tendril,Splintered Heart of Al'ar,Decanter of Anima-Charged Winds,Blighted Margrave's Cloak,Axe of the Deadgrove,Builwark of the Stone Legion,169471389,Army of the Light Tabard,
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Endlessly Gluttonous Greaves,Dynamo Doomstompers,Vambraces of the Depraved Warden,Guilewind Stone Talons,Ritualist's Treasured Ring,Death God's Signet,Sinful Aspirant's Badge of Ferocity,Gluttonous Spike,Cowled Batwing Cloak,Axe of the Deadgrove,Encrusted Canopic Lid,135883644,,
Plague Handler's Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Gormshell Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Death God's Signet,Hyperlight Band,Viscera of Coalesced Hatred,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Axe of the Deadgrove,Chyrus's Crest of Hope,172649351,Tabard of the Waveblade Ankoan,Precious' Ribbon
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Death God's Signet,Stitchflesh's Misplaced Signet,Viscera of Coalesced Hatred,Decanter of Anima-Charged Winds,Dealer Xy'exa's Cape,Engorged Worm Smasher,Encrusted Canopic Lid,195516303,Stormwind Tabard,
Wrathbark Greathelm,Gaiazelle's Spiked Collar,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Soldier's Stoneband Wristguards,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Blood-Spattered Scale,Inscrutable Quantum Device,Decadent Nathrian Shawl,Axe of the Deadgrove,Acidslough Bulwark,197550361,Tabard of Summer Skies,
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Gormshell Greaves,Dynamo Doomstompers,Selfless Collector's Wristguards,Fleshfused Crushers,Fleshfused Circle,Arachnid Cipher Ring,Gluttonous Spike,Inscrutable Quantum Device,Blighted Margrave's Cloak,Axe of the Deadgrove,Barricade of the Endless Empire,7184567,Tabard of the Lightbringer,Gorgeous Blouse
Wrathbark Greathelm,Azure-Venom Choker,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Errant Crusader's Greaves,Pit Fighter's Wristguards,Guilewind Stone Talons,Fleshfused Circle,Shadowghast Ring,Blood-Spattered Scale,Gluttonous Spike,Dealer Xy'exa's Cape,Axe of the Deadgrove,Barricade of the Endless Empire,162249848,,
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Band of the Risen Bonelord,Most Regal Signet of Sire Denathrius,Splintered Heart of Al'ar,Blood-Spattered Scale,Drape of Twisted Loyalties,Meditation's Muse,Acidslough Bulwark,211881362,,
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Cautious Calculation,Girdle of the Soulflayer,Gormshell Greaves,Warboots of Ruthless Conviction,Sinful Gladiator's Plate Vambraces,Fogweaver Gauntlets,Death God's Signet,Signet of the False Accuser,Sinful Gladiator's Medallion,Sinful Gladiator's Insignia of Alacrity,Sinful Gladiator's Drape,Sinful Gladiator's Xiphos,Sinful Gladiator's Guard,193754958,,Precious' Ribbon
Wrathbark Greathelm,Sin Stained Pendant,Sinful Gladiator's Plate Pauldrons,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Halkias's Towering Pillars,Muckwallow Stompers,Reality-Shatter Vambraces,Sinful Gladiator's Plate Handguards,Death God's Signet,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Anima Field Emitter,Blighted Margrave's Cloak,Axe of the Deadgrove,Acidslough Bulwark,158608123,,
Oversized Centurion Helm,Sinful Gladiator's Pendant,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Scarred Bloodbound Girdle,Endlessly Gluttonous Greaves,Dynamo Doomstompers,Sinful Gladiator's Plate Wristguards,Sinful Gladiator's Plate Gauntlets,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Inscrutable Quantum Device,Gluttonous Spike,Cowled Batwing Cloak,Sophisticated Bonecracker,Sinful Gladiator's Guard,55915862,Tabard of the Lightbringer,
Plague Handler's Greathelm,Muckformed Chain Choker,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Dynamo Doomstompers,Thunderous Echo Vambraces,Fleshfused Crushers,Signet of the False Accuser,Ritual Commander's Ring,Sinful Gladiator's Badge of Ferocity,Sinful Aspirant's Medallion,Blighted Margrave's Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,110935105,,Formal White Shirt
Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Gormshell Greaves,Muckwallow Stompers,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Death God's Signet,Signet of the False Accuser,Viscera of Coalesced Hatred,Decanter of Anima-Charged Winds,Decadent Nathrian Shawl,Supercollider,Acidslough Bulwark,112383853,Tabard of the Shattered Sun,Wound Dressing
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Brutal Dissonance,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Errant Crusader's Greaves,Thunderous Echo Vambraces,Hardened Castle Crushers,Stitchflesh's Misplaced Signet,Ritualist's Treasured Ring,Blood-Spattered Scale,Pulsating Stoneheart,Dealer Xy'exa's Cape,Axe of the Deadgrove,Acidslough Bulwark,196125741,,
Darkfrost Helmet,Noble's Birthstone Pendant,Unyielding Combatant's Pauldrons,Breastplate of Brutal Dissonance,Waistguard of Expurged Anguish,Shadowghast Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Ritualist's Treasured Ring,Arachnid Cipher Ring,Viscera of Coalesced Hatred,Blood-Spattered Scale,Dealer Xy'exa's Cape,Sophisticated Bonecracker,Encrusted Canopic Lid,161243486,,
Wrathbark Greathelm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Legplates of Unholy Frenzy,Muckwallow Stompers,Thunderous Echo Vambraces,Hardened Castle Crushers,Stitchflesh's Misplaced Signet,Shadowghast Ring,Viscera of Coalesced Hatred,Blood-Spattered Scale,Cowled Batwing Cloak,Stone General's Edge,Barricade of the Endless Empire,158251081,Gilneas Tabard,
Dreadguard's Greathelm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Valorous Aegis Breastplate,Girdle of the Soulflayer,Gormshell Greaves,Valinor's Ground Pounders,Thunderous Echo Vambraces,Fleshfused Crushers,Ritual Bone Band,Shadowghast Ring,Slimy Consumptive Organ,Blood-Spattered Scale,Shawl of the Shattered Giant,Engorged Worm Smasher,Sylvan Whiteshield,140898780,Tabard of the Voldunai,
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Waistguard of Expurged Anguish,Gormshell Greaves,Valinor's Ground Pounders,Reality-Shatter Vambraces,Guilewind Stone Talons,Band of the Risen Bonelord,Ritualist's Treasured Ring,Anima Field Emitter,Blood-Spattered Scale,Blighted Margrave's Cloak,Sophisticated Bonecracker,Acidslough Bulwark,97309904,,
Wrathbark Greathelm,Charm of Eternal Winter,Vile Butcher's Pauldrons,Breastplate of Fatal Contrivances,Shadowghast Waistguard,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Ritual Bone Band,Slimy Consumptive Organ,Gluttonous Spike,Drape of Twisted Loyalties,Axe of the Deadgrove,Acidslough Bulwark,104804481,Guild Tabard,Green Martial Shirt
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Selfless Collector's Chestplate,Girdle of the Soulflayer,Halkias's Towering Pillars,Dynamo Doomstompers,Vambraces of the Depraved Warden,Fleshfused Crushers,Band of the Risen Bonelord,Signet of the False Accuser,Viscera of Coalesced Hatred,Blood-Spattered Scale,Dealer Xy'exa's Cape,Axe of the Deadgrove,Acidslough Bulwark,83795357,Tabard of the Lightbringer,Tailored Officer's Shirt
Plague Handler's Greathelm,Noble's Birthstone Pendant,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Gormshell Greaves,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Fallen Templar's Gauntlets,Stitchflesh's Misplaced Signet,Sinful Gladiator's Signet,Stone Legion Heraldry,Overcharged Anima Battery,Grim-Veiled Cape,Sophisticated Bonecracker,Encrusted Canopic Lid,155331573,Tabard of the Honorbound,Pink Mageweave Shirt
Wing Commander's Helmet,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Ceremonial Parade Legguards,Dynamo Doomstompers,Sinful Gladiator's Plate Vambraces,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Hyperlight Band,Splintered Heart of Al'ar,Macabre Sheet Music,Grim-Veiled Cape,Xandria's Kopis of Courage,Elysian Sentinel's Aegis,127725832,,Artisan Member's Shirt
Plague Handler's Greathelm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Selfless Collector's Chestplate,Shadowghast Waistguard,Endlessly Gluttonous Greaves,Selfless Collector's Warboots,Thunderous Echo Vambraces,Fleshfused Crushers,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Bladedancer's Armor Kit,Blood-Spattered Scale,Shroud of the Penitent,Axe of the Deadgrove,Acidslough Bulwark,148586192,Uldum Accord Tabard,Artisan Initiate's Shirt
Darkfrost Helmet,Muckformed Chain Choker,Shadowghast Pauldrons,Selfless Collector's Chestplate,Stoic Guardsman's Belt,Legplates of Unholy Frenzy,Sinful Aspirant's Plate Warboots,Sinful Gladiator's Plate Vambraces,Fleshfused Crushers,Signet of the False Accuser,Sinful Gladiator's Ring,Gluttonous Spike,Decanter of Anima-Charged Winds,Blighted Margrave's Cloak,Sinful Aspirant's Sword,Encrusted Canopic Lid,74148547,,
Sapsteel Warhelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Endlessly Gluttonous Greaves,Stoneguard Attendant's Boots,Hellhound Cuffs,Colossal Plate Gauntlets,Fleshfused Circle,Death God's Signet,Bargast's Leash,Gluttonous Spike,Cowled Batwing Cloak,Xandria's Kopis of Courage,Acidslough Bulwark,148602884,Tabard of the Lightbringer,
Shadowghast Helm,Noble's Birthstone Pendant,Sinful Gladiator's Plate Pauldrons,Breastplate of Otherworldly Influence,Sinful Aspirant's Plate Girdle,Sinful Gladiator's Plate Legguards,Warboots of Ruthless Conviction,Sinful Gladiator's Plate Vambraces,Fogweaver Gauntlets,Sinful Gladiator's Ring,Arachnid Cipher Ring,Darkmoon Deck: Voracity,Inscrutable Quantum Device,Blighted Margrave's Cloak,Sophisticated Bonecracker,Acidslough Bulwark,152924266,Exodar Tabard,
Shadowghast Helm,Noble's Birthstone Pendant,Unyielding Combatant's Pauldrons,Breastplate of Cautious Calculation,Stonebark Girdle,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Hellhound Cuffs,Fleshfused Crushers,Signet of the False Accuser,Fleshfused Circle,Sinful Aspirant's Badge of Ferocity,Sinful Aspirant's Medallion,Drape of Twisted Loyalties,Sinful Gladiator's Xiphos,Barricade of the Endless Empire,165922057,Tabard of the Protector,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Pit Fighter's Wristguards,Fleshfused Crushers,Hyperlight Band,Fleshfused Circle,Slimy Consumptive Organ,Darkmoon Deck: Indomitable,Blighted Margrave's Cloak,Engorged Worm Smasher,Acidslough Bulwark,121716507,,Precious' Ribbon
